"Position","Variable","Variable label"
"224","jkl_disdif4","Continence (bladder and bowel control)"
"225","jkl_disdif5","Hearing (apart from using a standard hearing aid)"
"226","jkl_disdif6","Sight (apart from wearing standard glasses)"
"227","jkl_disdif7","Communication or speech problems"
"228","jkl_disdif8","Memory or ability to concentrate, learn or understand"
"229","jkl_disdif9","Recognising when you are in physical danger"
"230","jkl_disdif10","Your physical co-ordination (e.g. balance)"
"231","jkl_disdif11","Difficulties with own personal care"
"232","jkl_disdif12","Other health problem or disability"
"233","jkl_disdif96","None of these"
"234","jkl_dissev1","How much difficulty do you have with Mobility"
"235","jkl_dissev2","How much difficulty do you have with Lifting, carrying or moving objects"
"236","jkl_dissev3","How much difficulty do you have with Manual dexterity"
"237","jkl_dissev4","How much difficulty do you have with Continence"
"238","jkl_dissev5","How much difficulty do you have with Hearing"
"239","jkl_dissev6","How much difficulty do you have with Sight"
"240","jkl_dissev7","How much difficulty do you have with Communication"
"241","jkl_dissev8","How much difficulty do you have with Memory"
"242","jkl_dissev9","How much difficulty do you have with Recognising when you are in physical danger"
"243","jkl_dissev10","How much difficulty do you have with Your physical co-ordination"
"244","jkl_dissev11","How much difficulty do you have with Difficulties with own personal care"
"245","jkl_dissev12","How much difficulty do you have with Other health problem or disability"
"246","jkl_hcond1","Asthma"
"247","jkl_hcond2","Arthritis"
"248","jkl_hcond3","Congestive heart failure"
"249","jkl_hcond4","Coronary heart disease"
"250","jkl_hcond5","Angina"
"251","jkl_hcond6","Heart attack or myocardial infarction"
"252","jkl_hcond7","Stroke"
"253","jkl_hcond8","Emphysema"
"254","jkl_hcond11","Chronic bronchitis"
"255","jkl_hcond21","COPD (Chronic Obstructive Pulmonary Disease)"
"256","jkl_hcond10","Hypothyroidism or an under-active thyroid"
"257","jkl_hcond12","Any kind of liver condition"
"258","jkl_hcond13","Cancer or malignancy"
"259","jkl_hcond14","Diabetes"
"260","jkl_hcond15","Epilepsy"
"261","jkl_hcond16","High blood pressure"
"262","jkl_hcond22","An emotional, nervous or psychiatric problem"
"263","jkl_hcond19","Multiple Sclerosis"
"264","jkl_hcond18","Other long standing/chronic condition, please specify"
"265","jkl_hcond96","None of these"
"266","jkl_arthtyp","Type of arthritis"
"267","jkl_cancertyp1","Bowel/colorectal"
"268","jkl_cancertyp2","Lung"
"269","jkl_cancertyp3","Breast"
"270","jkl_cancertyp4","Prostate"
"271","jkl_cancertyp5","Liver"
"272","jkl_cancertyp6","Skin cancer or melanoma"
"273","jkl_cancertyp7","Other"
"274","jkl_diabetestyp","Type of diabetes"
"275","jkl_mhealthtyp1","Anxiety"
"276","jkl_mhealthtyp2","Depression"
"277","jkl_mhealthtyp3","Psychosis or schizophrenia"
"278","jkl_mhealthtyp4","Bipolar disorder or manic depression"
"279","jkl_mhealthtyp5","An eating disorder"
"280","jkl_mhealthtyp6","Post-traumatic stress disorder"
"281","jkl_mhealthtyp7","Other"
"282","jkl_hcondcode1","Asthma"
"283","jkl_hcondcode3","Congestive heart failure"
"284","jkl_hcondcode4","Coronary heart disease"
"285","jkl_hcondcode5","Angina"
"286","jkl_hcondcode6","Heart attack or myocardial infarction"
"287","jkl_hcondcode7","Stroke"
"288","jkl_hcondcode8","Emphysema"
"289","jkl_hcondcode10","Hypothyroidism or an under-active thyroid"
"290","jkl_hcondcode11","Chronic bronchitis"
"291","jkl_hcondcode12","Any kind of liver condition"
"292","jkl_hcondcode15","Epilepsy"
"293","jkl_hcondcode16","High blood pressure/hypertension"
"294","jkl_hcondcode19","Multiple Sclerosis"
"295","jkl_hcondcode21","COPD (Chronic Obstructive Pulmonary Disease)"
"296","jkl_hcondcode23","Osteoarthritis"
"297","jkl_hcondcode24","Rheumatoid arthritis"
"298","jkl_hcondcode25","Other arthritis"
"299","jkl_hcondcode26","Bowel/colorectal cancer"
"300","jkl_hcondcode27","Lung cancer"
"301","jkl_hcondcode28","Breast cancer"
"302","jkl_hcondcode29","Prostate cancer"
"303","jkl_hcondcode30","Liver cancer"
"304","jkl_hcondcode31","Skin cancer or melanoma"
"305","jkl_hcondcode32","Other cancer"
"306","jkl_hcondcode33","Type 1 diabetes"
"307","jkl_hcondcode34","Type 2 diabetes"
"308","jkl_hcondcode35","Gestational diabetes/during pregnancy"
"309","jkl_hcondcode36","Other diabetes"
"310","jkl_hcondcode37","Anxiety"
"311","jkl_hcondcode38","Depression"
"312","jkl_hcondcode39","Psychosis or schizophrenia"
"313","jkl_hcondcode40","Bipolar disorder or manic depression"
"314","jkl_hcondcode41","An eating disorder"
"315","jkl_hcondcode42","Post-traumatic stress disorder"
"316","jkl_hcondcode43","Other emotional, nervous or psychiatric problem"
"317","jkl_hcondcode97","Other long standing/chronic condition"
"318","jkl_hcondcode96","None of these"
"319","jkl_hconda01","Age told had asthma"
"320","jkl_hconda03","Age told had congestive heart failure"
"321","jkl_hconda04","Age told had coronary heart disease"
"322","jkl_hconda05","Age told had angina"
"323","jkl_hconda06","Age told had heart attack or myocardial infarction"
"324","jkl_hconda07","Age told had stroke"
"325","jkl_hconda08","Age told had emphysema"
"326","jkl_hconda10","Age told had hypothyroidism or an under-active thyroid"
"327","jkl_hconda11","Age told had chronic bronchitis"
"328","jkl_hconda12","Age told had any kind of liver condition"
"329","jkl_hconda15","Age told had epilepsy"
"330","jkl_hconda16","Age told had high blood pressure"
"331","jkl_hconda19","Age told had multiple sclerosis"
"332","jkl_hconda21","Age told had COPD (Chronic Obstructive Pulmonary Disease)"
"333","jkl_hconda23","Age told had osteoarthritis"
"334","jkl_hconda24","Age told had rheumatoid arthritis"
"335","jkl_hconda26","Age told had bowel/colorectal cancer"
"336","jkl_hconda27","Age told had lung cancer"
"337","jkl_hconda28","Age told had breast cancer"
"338","jkl_hconda29","Age told had prostate cancer"
"339","jkl_hconda30","Age told had liver cancer"
"340","jkl_hconda31","Age told had skin cancer or melanoma"
"341","jkl_hconda33","Age told had type 1 diabetes"
"342","jkl_hconda34","Age told had type 2 diabetes"
"343","jkl_hconda35","Age told had gestational diabetes/during pregnancy"
"344","jkl_hconda37","Age told had anxiety"
"345","jkl_hconda38","Age told had depression"
"346","jkl_hconda39","Age told had psychosis or schizophrenia"
"347","jkl_hconda40","Age told had bipolar disorder or manic depression"
"348","jkl_hconda41","Age told had an eating disorder"
"349","jkl_hconda42","Age told had post-traumatic stress disorder"
"350","jkl_hconds01","Still have asthma"
"351","jkl_hconds03","Still have congestive heart failure"
"352","jkl_hconds04","Still have coronary heart disease"
"353","jkl_hconds05","Still have angina"
"354","jkl_hconds08","Still have emphysema"
"355","jkl_hconds10","Still have hypothyroidism or an under-active thyroid"
"356","jkl_hconds11","Still have chronic bronchitis"
"357","jkl_hconds12","Still have any kind of liver condition"
"358","jkl_hconds15","Still have epilepsy"
"359","jkl_hconds16","Still have high blood pressure"
"360","jkl_hconds21","Still have COPD (Chronic Obstructive Pulmonary Disease)"
"361","jkl_hconds23","Still have osteoarthritis"
"362","jkl_hconds24","Still have rheumatoid arthritis"
"363","jkl_hconds25","Still have other arthritis"
"364","jkl_hconds26","Still have bowel/colorectal cancer"
"365","jkl_hconds27","Still have lung cancer"
"366","jkl_hconds28","Still have breast cancer"
"367","jkl_hconds29","Still have prostate cancer"
"368","jkl_hconds30","Still have liver cancer"
"369","jkl_hconds31","Still have skin cancer or melanoma"
"370","jkl_hconds32","Still have other cancer"
"371","jkl_hconds33","Still have type 1 diabetes"
"372","jkl_hconds34","Still have type 2 diabetes"
"373","jkl_hconds35","Still have gestational diabetes/during pregnancy"
"374","jkl_hconds36","Still have other diabetes"
"375","jkl_hconds37","Still have anxiety"
"376","jkl_hconds38","Still have depression"
"377","jkl_hconds39","Still have psychosis or schizophrenia"
"378","jkl_hconds40","Still have bipolar disorder or manic depression"
"379","jkl_hconds41","Still have an eating disorder"
"380","jkl_hconds42","Still have post-traumatic stress disorder"
"381","jkl_hconds43","Still have other emotional, nervous or psychiatric problem"
"382","jkl_hconds97","Still have other long standing/chronic condition"
"383","jkl_hl2gp","Visited GP in last 12 months"
"384","jkl_hl2hop","Hosp or clinic out-patient last 12 months"
"385","jkl_hosp","Hosp or clinic in-patient last 12 months"
"386","jkl_hospd","In-patient number of days"
"387","jkl_hospch","In-patient childbirth"
"388","jkl_smoker","Smoker"
"389","jkl_ncigs","Usual no. of cigarettes smoked per day"
"390","jkl_giveup","Would like to give up smoking"
"391","jkl_gvupreas1","Because of a health problem I have at present"
"392","jkl_gvupreas2","Better for my health in general"
"393","jkl_gvupreas3","To reduce the risk of getting smoking related illnesses"
"394","jkl_gvupreas4","Because of the smoking ban in public places and at work"
"395","jkl_gvupreas5","Family and friends want me to stop"
"396","jkl_gvupreas6","Financial reasons (can't afford it)"
"397","jkl_gvupreas7","Worried about the effect on my children"
"398","jkl_gvupreas8","Worried about the effect on other family members"
"399","jkl_gvupreas9","Something else"
"400","jkl_ecigs1","Uses electronic cigarettes"
"401","jkl_aidhh","Cares for handicapped/other in household"
"402","jkl_aidhua1","Person number 1 Resp. aids person number 1"
"403","jkl_aidhua2","Person number 2 Resp. aids person number 2"
"404","jkl_aidhua3","Person number 3 Resp. aids person number 3"
"405","jkl_aidhua4","Person number 4 Resp. aids person number 4"
"406","jkl_aidhua5","Person number 5 Resp. aids person number 5"
"407","jkl_aidhua6","Person number 6 Resp. aids person number 6"
"408","jkl_aidhua7","Person number 7 Resp. aids person number 7"
"409","jkl_aidhua8","Person number 8 Resp. aids person number 8"
"410","jkl_aidhua9","Person number 9 Resp. aids person number 9"
"411","jkl_aidhua10","Person number 10 Resp. aids person number 10"
"412","jkl_aidhua11","Person number 11 Resp. aids person number 11"
"413","jkl_aidhua12","Person number 12 Resp. aids person number 12"
"414","jkl_aidhua13","Person number 13 Resp. aids person number 13"
"415","jkl_aidhua14","Person number 14 Resp. aids person number 14"
"416","jkl_aidhua15","Person number 15 Resp. aids person number 15"
"417","jkl_aidhua16","Person number 16 Resp. aids person number 16"
"418","jkl_aidxhh","Non-residents cared for"
"419","jkl_naidxhh","Number of non-residents cared for"
"420","jkl_aidhu1","Caring: relation to 1st non-res dependent"
"421","jkl_aidhu2","Caring: relation to 2nd non-res dependent"
"422","jkl_aidhrs","Hours per week spent caring"
"423","jkl_aideft","Caring prevents paid employment"
"424","jkl_casch","Misses school to care for someone"
"425","jkl_lcohnpi","Ever cohabited without marrying"
"426","jkl_coh1bm","Month first began cohabiting"
"427","jkl_coh1by","Year first began cohabiting"
"428","jkl_coh1mr","Went on to marry first cohabitee"
"429","jkl_coh1em","Month first cohabitation ended"
"430","jkl_coh1ey","Year first cohabitation ended"
"431","jkl_nmar","Number of times resp married"
"432","jkl_lmar1m","Month of first marriage"
"433","jkl_lmar1y","Year of first marriage"
"434","jkl_ladopt","Ever had step/adopted child(ren)"
"435","jkl_lnadopt","Number of step/adopted child(ren)"
"436","jkl_lprnt","Ever had/fathered children"
"437","jkl_lnprnt","No. of children natural parent to"
"438","jkl_ch1by4","DOB of eldest child: Year"
"439","jkl_adcts","Lived continuously at this address since last interview"
"440","jkl_movy11","Family related reasons"
"441","jkl_movy12","Education related reasons"
"442","jkl_movy13","Employer related reasons"
"443","jkl_movy14","Housing related reasons"
"444","jkl_movy15","Area related reasons"
"445","jkl_movy16","Or did you have to move for some other reason?"
"446","jkl_family","Moved for family reasons"
"447","jkl_education","Moved for education reasons"
"448","jkl_memploy","Moved for employment reasons"
"449","jkl_housing","Moved for housing reasons"
"450","jkl_area","Moved for area related reasons"
"451","jkl_movdir","Moved direct or multiple moves"
"452","jkl_plnowm","Month of moving to current address"
"453","jkl_plnowy4","Year of moving to current address"
"454","jkl_relup","Last wave partner resident or split (from Household Grid)"
"455","jkl_mstatsam","Whether marital status changed within cohab rel"
"456","jkl_lwwrong","Correct marital status last wave"
"457","jkl_mstatsamn","Whether marital status changed"
"458","jkl_currmstat","Current legal marital status"
"459","jkl_cohab","Any cohabitation spells since last interview"
"460","jkl_cohabn","Number spells of cohabitation"
"461","jkl_father","Fathered children since last interview"
"462","jkl_nchild","Number of new children"
"463","jkl_preg","Has had a pregnancy"
"464","jkl_nnewborn","Number of newborns since last interview"
"465","jkl_hcondncode1","Asthma"
"466","jkl_hcondncode3","Congestive heart failure"
"467","jkl_hcondncode4","Coronary heart disease"
"468","jkl_hcondncode5","Angina"
"469","jkl_hcondncode6","Heart attack or myocardial infarction"
"470","jkl_hcondncode7","Stroke"
"471","jkl_hcondncode8","Emphysema"
"472","jkl_hcondncode10","Hypothyroidism or an under-active thyroid"
"473","jkl_hcondncode11","Chronic bronchitis"
"474","jkl_hcondncode12","Any kind of liver condition"
"475","jkl_hcondncode15","Epilepsy"
"476","jkl_hcondncode16","High blood pressure/hypertension"
"477","jkl_hcondncode19","Multiple Sclerosis"
"478","jkl_hcondncode21","COPD (Chronic Obstructive Pulmonary Disease)"
"479","jkl_hcondncode23","Osteoarthritis"
"480","jkl_hcondncode24","Rheumatoid arthritis"
"481","jkl_hcondncode25","Other arthritis"
"482","jkl_hcondncode26","Bowel/colorectal cancer"
"483","jkl_hcondncode27","Lung cancer"
"484","jkl_hcondncode28","Breast cancer"
"485","jkl_hcondncode29","Prostate cancer"
"486","jkl_hcondncode30","Liver cancer"
"487","jkl_hcondncode31","Skin cancer or melanoma"
"488","jkl_hcondncode32","Other cancer"
"489","jkl_hcondncode33","Type 1 diabetes"
"490","jkl_hcondncode34","Type 2 diabetes"
"491","jkl_hcondncode35","Gestational diabetes/during pregnancy"
"492","jkl_hcondncode36","Other diabetes"
"493","jkl_hcondncode37","Anxiety"
"494","jkl_hcondncode38","Depression"
"495","jkl_hcondncode39","Psychosis or schizophrenia"
"496","jkl_hcondncode40","Bipolar disorder or manic depression"
"497","jkl_hcondncode41","An eating disorder"
"498","jkl_hcondncode42","Post-traumatic stress disorder"
"499","jkl_hcondncode43","Other emotional, nervous or psychiatric problem"
"500","jkl_hcondncode97","Other long standing/chronic condition"
"501","jkl_hcondncode96","None of these"
"502","jkl_hcondno1","health cond no. 1: Health Condition Number"
"503","jkl_hcondns1","health cond no. 1: Still has diagnosed health condition"
"504","jkl_hcondno2","health cond no. 2: Health Condition Number"
"505","jkl_hcondns2","health cond no. 2: Still has diagnosed health condition"
"506","jkl_hcondno3","health cond no. 3: Health Condition Number"
"507","jkl_hcondns3","health cond no. 3: Still has diagnosed health condition"
"508","jkl_hcondno4","health cond no. 4: Health Condition Number"
"509","jkl_hcondns4","health cond no. 4: Still has diagnosed health condition"
"510","jkl_hcondno5","health cond no. 5: Health Condition Number"
"511","jkl_hcondns5","health cond no. 5: Still has diagnosed health condition"
"512","jkl_hcondno6","health cond no. 6: Health Condition Number"
"513","jkl_hcondns6","health cond no. 6: Still has diagnosed health condition"
"514","jkl_hcondno7","health cond no. 7: Health Condition Number"
"515","jkl_hcondns7","health cond no. 7: Still has diagnosed health condition"
"516","jkl_hcondno8","health cond no. 8: Health Condition Number"
"517","jkl_hcondns8","health cond no. 8: Still has diagnosed health condition"
"518","jkl_hcondno9","health cond no. 9: Health Condition Number"
"519","jkl_hcondns9","health cond no. 9: Still has diagnosed health condition"
"520","jkl_arthtypn","Type of arthritis"
"521","jkl_cancertypn1","Bowel/colorectal"
"522","jkl_cancertypn2","Lung"
"523","jkl_cancertypn3","Breast"
"524","jkl_cancertypn4","Prostate"
"525","jkl_cancertypn5","Liver"
"526","jkl_cancertypn6","Skin cancer or melanoma"
"527","jkl_cancertypn7","Other"
"528","jkl_diabetestypn","Type of diabetes"
"529","jkl_mhealthtypn1","Anxiety"
"530","jkl_mhealthtypn2","Depression"
"531","jkl_mhealthtypn3","Psychosis or schizophrenia"
"532","jkl_mhealthtypn4","Bipolar disorder or manic depression"
"533","jkl_mhealthtypn5","An eating disorder"
"534","jkl_mhealthtypn6","Post-traumatic stress disorder"
"535","jkl_mhealthtypn7","Other"
"536","jkl_contft","Continuous FT education"
"537","jkl_ftendm","Month finished FT education period"
"538","jkl_ftendy4","Year finished FT education period"
"539","jkl_ftedany","Any FT education"
"540","jkl_ftquals","Qualifications from FT education"
"541","jkl_qualnew1","Higher Degree"
"542","jkl_qualnew35","PGCE"
"543","jkl_qualnew36","First degree level qualification (e.g. BA, BSc)"
"544","jkl_qualnew37","Foundation degree"
"545","jkl_qualnew3","Diploma in HE"
"546","jkl_qualnew38","Teach qual sec/further ed (excl PGCE)"
"547","jkl_qualnew39","Teach qual prim ed (excl PGCE)"
"548","jkl_qualnew5","Nursing/other med qual"
"549","jkl_qualnew6","Other higher degree"
"550","jkl_qualnew40","Access to Higher Education (HE) Diploma"
"551","jkl_qualnew7","A Level"
"552","jkl_qualnew8","Welsh Baccalaureate"
"553","jkl_qualnew9","Internt'l Baccalaureate"
"554","jkl_qualnew10","AS Level"
"555","jkl_qualnew41","Scottish Baccalaureate"
"556","jkl_qualnew42","Advanced Higher"
"557","jkl_qualnew13","GCSE"
"558","jkl_qualnew15","Credit Standard Grade (National 5 / Intermediate 2)"
"559","jkl_qualnew32","General Standard Grade (National 4 / Intermediate 1)"
"560","jkl_qualnew33","Foundation Standard Grade (National 3 / Access 3)"
"561","jkl_qualnew16","Other school cert"
"562","jkl_qualnew17","Youth training cert"
"563","jkl_qualnew18","Key Skills"
